0,Rank,Song,Artist,Year
1149,49,lowdown,boz scaggs,1976
1150,50,show me the way live,peter frampton,1976
1151,51,dream on,aerosmith,1976
1152,52,i love music,the ojays,1976
1153,53,say you love me,fleetwood mac,1976
1154,54,times of your life,paul anka,1976
1155,55,devil woman,cliff richard,1976
1156,56,fooled around and fell in love,elvin bishop,1976
1157,57,convoy,c w mccall,1976
1158,58,welcome back,john sebastian,1976
1159,59,sing a song,earth wind  fire,1976
1160,60,heaven must be missing an angel,tavares,1976
1161,61,ill be good to you,the brothers johnson,1976
1162,62,rock and roll music,the beach boys,1976
1163,63,shop around,captain  tennille,1976
1164,64,saturday night,bay city rollers,1976
1165,65,island girl,elton john,1976
1166,66,lets do it again,the staple singers,1976
1167,67,let em in,wings,1976
1168,68,baby face,wing and a prayer fife and drum corps,1976
1169,69,this masquerade,george benson,1976
1170,70,evil woman,electric light orchestra,1976
1171,71,wham bam,silver,1976
1172,72,im easy,keith carradine,1976
1173,73,wake up everybody,harold melvin  the blue notes,1976
1174,74,summer,war,1976
1175,75,let her in,john travolta,1976
1176,76,fox on the run,sweet,1976
1177,77,rhiannon,fleetwood mac,1976
1178,78,got to get you into my life,the beatles,1976
1179,79,fanny be tender with my love,bee gees,1976
1180,80,getaway,earth wind  fire,1976
1181,81,shes gone,hall  oates,1976
1182,82,still the one,orleans,1976
1183,83,youre my best friend,queen,1976
1184,84,with your love,jefferson starship,1976
1185,85,slow ride,foghat,1976
1186,86,whod she coo,ohio players,1976
1187,87,the boys are back in town,thin lizzy,1976
1188,88,walk away from love,david ruffin,1976
1189,89,baby i love your way live,peter frampton,1976
1190,90,young hearts run free,candi staton,1976
1191,91,breaking up is hard to do,neil sedaka,1976
1192,92,money honey,bay city rollers,1976
1193,93,give up the funk tear the roof off the sucker,parliament,1976
1194,94,junk food junkie,larry groce,1976
1195,95,tryin to get the feeling again,barry manilow,1976
1196,96,rock and roll all nite live,kiss,1976
1197,97,disco duck,rick dees  his cast of idiots,1976
1198,98,take the money and run,steve miller band,1976
1199,99,squeeze box,the who,1976
1200,100,country boy you got your feet in la,glen campbell,1976
1201,1,tonights the night gonna be alright,rod stewart,1977
1202,2,i just want to be your everything,andy gibb,1977
1203,3,best of my love,the emotions,1977
1204,4,evergreen love theme from a star is born,barbra streisand,1977
1205,5,angel in your arms,hot,1977
1206,6,i like dreamin,kenny nolan,1977
1207,7,dont leave me this way,thelma houston,1977
1208,8,your love has lifted me higher and higher,rita coolidge,1977
1209,9,undercover angel,alan oday,1977
1210,10,torn between two lovers,mary macgregor,1977
1211,11,im your boogie man,kc and the sunshine band,1977
1212,12,dancing queen,abba,1977
1213,13,you make me feel like dancing,leo sayer,1977
1214,14,margaritaville,jimmy buffett,1977
1215,15,telephone line,electric light orchestra,1977
1216,16,whatcha gonna do,pablo cruise,1977
1217,17,do you wanna make love,peter mccann,1977
1218,18,sir duke,stevie wonder,1977
1219,19,hotel california,eagles,1977
1220,20,got to give it up,marvin gaye,1977
1221,21,gonna fly now,bill conti deetta little and nelson pigford,1977
1222,22,southern nights,glen campbell,1977
1223,23,rich girl,hall  oates,1977
1224,24,when i need you,leo sayer,1977
1225,25,hot line,the sylvers,1977
1226,26,car wash,rose royce,1977
1227,27,you dont have to be a star to be in my show,marilyn mccoo  billy davis jr,1977
1228,28,fly like an eagle,steve miller band,1977
1229,29,dont give up on us,david soul,1977
1230,30,on and on,stephen bishop,1977
1231,31,feels like the first time,foreigner,1977
1232,32,couldnt get it right,climax blues band,1977
1233,33,easy,commodores,1977
1234,34,right time of the night,jennifer warnes,1977
1235,35,ive got love on my mind,natalie cole,1977
1236,36,blinded by the light,manfred manns earth band,1977
1237,37,looks like we made it,barry manilow,1977
1238,38,so in to you,atlanta rhythm section,1977
1239,39,dreams,fleetwood mac,1977
1240,40,enjoy yourself,the jacksons,1977
1241,41,dazz,brick,1977
1242,42,im in you,peter frampton,1977
1243,43,lucille,kenny rogers,1977
1244,44,the things we do for love,10cc,1977
1245,45,da doo ron ron,shaun cassidy,1977
1246,46,handy man,james taylor,1977
1247,47,just a song before i go,crosby stills  nash,1977
1248,48,you and me,alice cooper,1977
1249,49,swayin to the music slow dancing,johnny rivers,1977
1250,50,lonely boy,andrew gold,1977
1251,51,i wish,stevie wonder,1977
1252,52,dont stop,fleetwood mac,1977
1253,53,barracuda,heart,1977
1254,54,strawberry letter 23,the brothers johnson,1977
1255,55,night moves,bob seger  the silver bullet band,1977
1256,56,youre my world,helen reddy,1977
1257,57,heard it in a love song,the marshall tucker band,1977
1258,58,carry on wayward son,kansas,1977
1259,59,new kid in town,eagles,1977
1260,60,my heart belongs to me,barbra streisand,1977
1261,61,after the lovin,engelbert humperdinck,1977
1262,62,jet airliner,steve miller band,1977
1263,63,stand tall,burton cummings,1977
1264,64,way down,elvis presley,1977
1265,65,weekend in new england,barry manilow,1977
1266,66,it was almost like a song,ronnie milsap,1977
1267,67,smoke from a distant fire,sanfordtownsend band,1977
1268,68,cold as ice,foreigner,1977
1269,69,ariel,dean friedman,1977
1270,70,lost without your love,bread,1977
1271,71,star wars themecantina band,meco,1977
1272,72,float on,the floaters,1977
1273,73,jeans on,lord david dundas,1977
1274,74,lido shuffle,boz scaggs,1977
1275,75,keep it comin love,kc and the sunshine band,1977
1276,76,you made me believe in magic,bay city rollers,1977
1277,77,livin thing,electric light orchestra,1977
1278,78,give a little bit,supertramp,1977
1279,79,thats rock n roll,shaun cassidy,1977
1280,80,love so right,bee gees,1977
1281,81,the rubberband man,the spinners,1977
1282,82,i never cry,alice cooper,1977
1283,83,nobody does it better,carly simon,1977
1284,84,high school dance,the sylvers,1977
1285,85,loves grown deep,kenny nolan,1977
1286,86,aint gonna bump no more with no big fat woman,joe tex,1977
1287,87,i wanna get next to you,rose royce,1977
1288,88,somebody to love,queen,1977
1289,89,muskrat love,captain  tennille,1977
1290,90,walk this way,aerosmith,1977
1291,91,cherchez la femme,dr buzzards original savannah band,1977
1292,92,year of the cat,al stewart,1977
1293,93,boogie nights,heatwave,1977
1294,94,go your own way,fleetwood mac,1977
1295,95,sorry seems to be the hardest word,elton john,1977
1296,96,dont worry baby,bj thomas,1977
1297,97,knowing me knowing you,abba,1977
1298,98,how much love,leo sayer,1977
1299,99,star wars main title,london symphony orchestra,1977
1300,100,devils gun,cj  company,1977
1301,1,shadow dancing,andy gibb,1978
1302,2,night fever,bee gees,1978
1303,3,you light up my life,debby boone,1978
1304,4,stayin alive,bee gees,1978
1305,5,kiss you all over,exile,1978
1306,6,how deep is your love,bee gees,1978
1307,7,baby come back,player,1978
1308,8,love is thicker than water,andy gibb,1978
1309,9,boogie oogie oogie,a taste of honey,1978
1310,10,three times a lady,commodores,1978
1311,11,grease,frankie valli,1978
1312,12,i go crazy,paul davis,1978
1313,13,youre the one that i want,john travolta  olivia newtonjohn,1978
1314,14,emotion,samantha sang,1978
1315,15,lay down sally,eric clapton,1978
1316,16,miss you,the rolling stones,1978
1317,17,just the way you are,billy joel,1978
1318,18,with a little luck,wings,1978
1319,19,if i cant have you,yvonne elliman,1978
1320,20,dance dance dance yowsah yowsah yowsah,chic,1978
1321,21,feels so good,chuck mangione,1978
1322,22,hot child in the city,nick gilder,1978
1323,23,love is like oxygen,sweet,1978
1324,24,its a heartache,bonnie tyler,1978
1325,25,we will rock youwe are the champions,queen,1978
1326,26,baker street,gerry rafferty,1978
1327,27,cant smile without you,barry manilow,1978
1328,28,too much too little too late,johnny mathis  deniece williams,1978
1329,29,dance with me,peter brown,1978
1330,30,two out of three aint bad,meat loaf,1978
1331,31,jack and jill,raydio,1978
1332,32,take a chance on me,abba,1978
1333,33,sometimes when we touch,dan hill,1978
1334,34,last dance,donna summer,1978
1335,35,hopelessly devoted to you,olivia newtonjohn,1978
1336,36,hot blooded,foreigner,1978
1337,37,youre in my heart the final acclaim,rod stewart,1978
1338,38,the closer i get to you,roberta flack  donny hathaway,1978
1339,39,dust in the wind,kansas,1978
1340,40,magnet and steel,walter egan,1978
1341,41,short people,randy newman,1978
1342,42,use ta be my girl,the ojays,1978
1343,43,our love,natalie cole,1978
1344,44,love will find a way,pablo cruise,1978
1345,45,an everlasting love,andy gibb,1978
1346,46,love is in the air,john paul young,1978
1347,47,goodbye girl,david gates,1978
1348,48,slip slidin away,paul simon,1978
1349,49,the groove line,heatwave,1978
1350,50,thunder island,jay ferguson,1978
1351,51,imaginary lover,atlanta rhythm section,1978
1352,52,still the same,bob seger  the silver bullet band,1978
1353,53,my angel baby,toby beau,1978
1354,54,disco inferno,the trammps,1978
1355,55,on broadway,george benson,1978
1356,56,come sail away,styx,1978
1357,57,every time i turn around back in love again,ltd,1978
1358,58,this time im in it for love,player,1978
1359,59,you belong to me,carly simon,1978
1360,60,here you come again,dolly parton,1978
1361,61,blue bayou,linda ronstadt,1978
1362,62,peg,steely dan,1978
1363,63,you needed me,anne murray,1978
1364,64,shame,evelyn champagne king,1978
1365,65,reminiscing,little river band,1978
1366,66,count on me,jefferson starship,1978
1367,67,baby hold on,eddie money,1978
1368,68,hey deanie,shaun cassidy,1978
1369,69,summer nights,john travolta  olivia newtonjohn,1978
1370,70,whats your name,lynyrd skynyrd,1978
1371,71,dont it make my brown eyes blue,crystal gayle,1978
1372,72,because the night,patti smith group,1978
1373,73,every kinda people,robert palmer,1978
1374,74,copacabana,barry manilow,1978
1375,75,always and forever,heatwave,1978
1376,76,you and i,rick james,1978
1377,77,serpentine fire,earth wind  fire,1978
1378,78,sentimental lady,bob welch,1978
1379,79,falling,leblanc  carr,1978
1380,80,dont let me be misunderstood,santa esmeralda,1978
1381,81,bluer than blue,michael johnson,1978
1382,82,running on empty,jackson browne,1978
1383,83,whenever i call you friend,kenny loggins  stevie nicks,1978
1384,84,fool if you think its over,chris rea,1978
1385,85,get off,foxy,1978
1386,86,sweet talkin woman,electric light orchestra,1978
1387,87,lifes been good,joe walsh,1978
1388,88,i love the nightlife,alicia bridges,1978
1389,89,you cant turn me off in the middle of turning me on,high inergy,1978
1390,90,its so easy,linda ronstadt,1978
1391,91,native new yorker,odyssey,1978
1392,92,flash light,parliament,1978
1393,93,dont look back,boston,1978
1394,94,turn to stone,electric light orchestra,1978
1395,95,i cant stand the rain,eruption,1978
1396,96,ebony eyes,bob welch,1978
1397,97,the name of the game,abba,1978
1398,98,were all alone,rita coolidge,1978
1399,99,hollywood nights,bob seger  the silver bullet band,1978
1400,100,deacon blues,steely dan,1978
1401,1,my sharona,the knack,1979
1402,2,bad girls,donna summer,1979
1403,3,le freak,chic,1979
1404,4,da ya think im sexy,rod stewart,1979
1405,5,reunited,peaches  herb,1979
1406,6,i will survive,gloria gaynor,1979
1407,7,hot stuff,donna summer,1979
1408,8,ymca,village people,1979
1409,9,ring my bell,anita ward,1979
1410,10,sad eyes,robert john,1979
1411,11,too much heaven,bee gees,1979
1412,12,macarthur park,donna summer,1979
1413,13,when youre in love with a beautiful woman,dr hook,1979
1414,14,makin it,david naughton,1979
1415,15,fire,the pointer sisters,1979
1416,16,tragedy,bee gees,1979
1417,17,a little more love,olivia newtonjohn,1979
1418,18,heart of glass,blondie,1979
1419,19,what a fool believes,the doobie brothers,1979
1420,20,good times,chic,1979
1421,21,you dont bring me flowers,neil diamond  barbra streisand,1979
1422,22,knock on wood,amii stewart,1979
1423,23,stumblin in,suzi quatro  chris norman,1979
1424,24,lead me on,maxine nightingale,1979
1425,25,shake your body down to the ground,the jacksons,1979
1426,26,dont cry out loud,melissa manchester,1979
1427,27,the logical song,supertramp,1979
1428,28,my life,billy joel,1979
1429,29,just when i needed you most,randy vanwarmer,1979
1430,30,you cant change that,raydio,1979
1431,31,shake your groove thing,peaches  herb,1979
1432,32,ill never love this way again,dionne warwick,1979
1433,33,love you inside out,bee gees,1979
1434,34,i want you to want me,cheap trick,1979
1435,35,the main eventfight,barbra streisand,1979
1436,36,mama cant buy you love,elton john,1979
1437,37,i was made for dancin,leif garrett,1979
1438,38,after the love has gone,earth wind  fire,1979
1439,39,heaven knows,donna summer and brooklyn dreams,1979
1440,40,the gambler,kenny rogers,1979
1441,41,lotta love,nicolette larson,1979
1442,42,lady,little river band,1979
1443,43,heaven must have sent you,bonnie pointer,1979
1444,44,hold the line,toto,1979
1445,45,hes the greatest dancer,sister sledge,1979
1446,46,sharing the night together,dr hook  the medicine show,1979
1447,47,she believes in me,kenny rogers,1979
1448,48,in the navy,village people,1979
1449,49,music box dancer,frank mills,1979
1450,50,the devil went down to georgia,the charlie daniels band,1979
1451,51,gold,john stewart,1979
1452,52,goodnight tonight,wings,1979
1453,53,we are family,sister sledge,1979
1454,54,rock n roll fantasy,bad company,1979
1455,55,every 1s a winner,hot chocolate,1979
1456,56,take me home,cher,1979
1457,57,boogie wonderland,earth wind  fire  the emotions,1979
1458,58,our love dont throw it all away,andy gibb,1979
1459,59,what you wont do for love,bobby caldwell,1979
1460,60,new york groove,ace frehley,1979
1461,61,sultans of swing,dire straits,1979
1462,62,i want your love,chic,1979
1463,63,chuck es in love,rickie lee jones,1979
1464,64,i love the nightlife,alicia bridges,1979
1465,65,aint no stoppin us now,mcfadden  whitehead,1979
1466,66,lonesome loser,little river band,1979
1467,67,renegade,styx,1979
1468,68,love is the answer,england dan  john ford coley,1979
1469,69,got to be real,cheryl lynn,1979
1470,70,born to be alive,patrick hernandez,1979
1471,71,shine a little love,electric light orchestra,1979
1472,72,i just fall in love again,anne murray,1979
1473,73,shake it,ian matthews,1979
1474,74,i was made for lovin you,kiss,1979
1475,75,i just wanna stop,gino vannelli,1979
1476,76,disco nights rockfreak,gq,1979
1477,77,ooo baby baby,linda ronstadt,1979
1478,78,september,earth wind  fire,1979
1479,79,time passages,al stewart,1979
1480,80,rise,herb alpert,1979
1481,81,dont bring me down,electric light orchestra,1979
1482,82,promises,eric clapton,1979
1483,83,get used to it,roger voudouris,1979
1484,84,how much i feel,ambrosia,1979
1485,85,suspicions,eddie rabbitt,1979
1486,86,you take my breath away,rex smith,1979
1487,87,how you gonna see me now,alice cooper,1979
1488,88,double vision,foreigner,1979
1489,89,everytime i think of you,the babys,1979
1490,90,i got my mind made up you can get it girl,instant funk,1979
1491,91,dont stop til you get enough,michael jackson,1979
1492,92,bad case of loving you doctor doctor,robert palmer,1979
1493,93,somewhere in the night,barry manilow,1979
1494,94,weve got tonight,bob seger  the silver bullet band,1979
1495,95,dance the night away,van halen,1979
1496,96,dancin shoes,nigel olsson,1979
1497,97,the boss,diana ross,1979
1498,98,sail on,commodores,1979
1499,99,i do love you,gq,1979
1500,100,strange way,firefall,1979
1501,1,call me,blondie,1980
1502,2,another brick in the wall part ii,pink floyd,1980
1503,3,magic,olivia newtonjohn,1980
1504,4,rock with you,michael jackson,1980
1505,5,do that to me one more time,captain  tennille,1980
1506,6,crazy little thing called love,queen,1980
1507,7,coming up,paul mccartney,1980
1508,8,funkytown,lipps inc,1980
1509,9,its still rock and roll to me,billy joel,1980
1510,10,the rose,bette midler,1980
1511,11,escape the pi~na colada song,rupert holmes,1980
1512,12,cars,gary numan,1980
1513,13,cruisin,smokey robinson,1980
1514,14,working my way back to youforgive me girl,the spinners,1980
1515,15,lost in love,air supply,1980
1516,16,little jeannie,elton john,1980
1517,17,ride like the wind,christopher cross,1980
1518,18,upside down,diana ross,1980
1519,19,please dont go,kc and the sunshine band,1980
1520,20,babe,styx,1980
1521,21,with you im born again,billy preston and syreeta,1980
1522,22,shining star,the manhattans,1980
1523,23,still,commodores,1980
1524,24,yes im ready,teri desario  kc,1980
1525,25,sexy eyes,dr hook,1980
1526,26,steal away,robbie dupree,1980
1527,27,biggest part of me,ambrosia,1980
1528,28,this is it,kenny loggins,1980
1529,29,cupidive loved you for a long time,the spinners,1980
1530,30,lets get serious,jermaine jackson,1980
1531,31,dont fall in love with a dreamer,kenny rogers  kim carnes,1980
1532,32,sailing,christopher cross,1980
1533,33,longer,dan fogelberg,1980
1534,34,coward of the county,kenny rogers,1980
1535,35,ladies night,kool  the gang,1980
1536,36,too hot,kool  the gang,1980
1537,37,take your time do it right,the sos band,1980
1538,38,no more tears enough is enough,barbra streisand  donna summer,1980
1539,39,more love,kim carnes,1980
1540,40,pop muzik,m,1980
1541,41,brass in pocket,the pretenders,1980
1542,42,special lady,ray goodman  brown,1980
1543,43,send one your love,stevie wonder,1980
1544,44,the second time around,shalamar,1980
1545,45,we dont talk anymore,cliff richard,1980
1546,46,heartache tonight,eagles,1980
1547,47,stomp,the brothers johnson,1980
1548,48,tired of toein the line,rocky burnette,1980
1549,49,better love next time,dr hook,1980
1550,50,him,rupert holmes,1980
1551,51,against the wind,bob seger and the silver bullet band,1980
1552,52,on the radio,donna summer,1980
1553,53,emotional rescue,the rolling stones,1980
1554,54,rise,herb alpert,1980
1555,55,all out of love,air supply,1980
1556,56,cool change,little river band,1980
1557,57,youre only lonely,jd souther,1980
1558,58,desire,andy gibb,1980
1559,59,let my love open the door,pete townshend,1980
1560,60,romeos tune,steve forbert,1980
1561,61,daydream believer,anne murray,1980
1562,62,i cant tell you why,eagles,1980
1563,63,dont let go,isaac hayes,1980
1564,64,dont do me like that,tom petty and the heartbreakers,1980
1565,65,shes out of my life,michael jackson,1980
1566,66,fame,irene cara,1980
1567,67,fire lake,bob seger,1980
1568,68,how do i make you,linda ronstadt,1980
1569,69,into the night,benny mardones,1980
1570,70,let me love you tonight,pure prairie league,1980
1571,71,misunderstanding,genesis,1980
1572,72,an american dream,the dirt band,1980
1573,73,one fine day,carole king,1980
1574,74,dim all the lights,donna summer,1980
1575,75,you may be right,billy joel,1980
1576,76,hurt so bad,linda ronstadt,1980
1577,77,shouldve never let you go,neil  dara sedaka,1980
1578,78,pilot of the airwaves,charlie dore,1980
1579,79,off the wall,michael jackson,1980
1580,80,i pledge my love,peaches  herb,1980
1581,81,the long run,eagles,1980
1582,82,stand by me,mickey gilley,1980
1583,83,heartbreaker,pat benatar,1980
1584,84,dej`a vu,dionne warwick,1980
1585,85,drivin my life away,eddie rabbitt,1980
1586,86,take the long way home,supertramp,1980
1587,87,sara,fleetwood mac,1980
1588,88,wait for me,hall  oates,1980
1589,89,jojo,boz scaggs,1980
1590,90,september morn,neil diamond,1980
1591,91,give me the night,george benson,1980
1592,92,broken hearted me,anne murray,1980
1593,93,you decorated my life,kenny rogers,1980
1594,94,tusk,fleetwood mac,1980
1595,95,i wanna be your lover,prince,1980
1596,96,in america,charlie daniels band,1980
1597,97,breakdown dead ahead,boz scaggs,1980
1598,98,ships,barry manilow,1980
1599,99,all night long,joe walsh,1980
1600,100,refugee,tom petty and the heartbreakers,1980
1601,1,bette davis eyes,kim carnes,1981
1602,2,endless love,diana ross  lionel richie,1981
1603,3,lady,kenny rogers,1981
1604,4,just like starting over,john lennon,1981
1605,5,jessies girl,rick springfield,1981
1606,6,celebration,kool  the gang,1981
1607,7,kiss on my list,hall  oates,1981
1608,8,i love a rainy night,eddie rabbitt,1981
1609,9,9 to 5,dolly parton,1981
1610,10,keep on loving you,reo speedwagon,1981
1611,11,theme from the greatest american hero believe it or not,joey scarbury,1981
1612,12,morning train nine to five,sheena easton,1981
1613,13,being with you,smokey robinson,1981
1614,14,queen of hearts,juice newton,1981
1615,15,rapture,blondie,1981
1616,16,a woman needs love just like you do,raydio,1981
1617,17,the tide is high,blondie,1981
1618,18,just the two of us,grover washington jr  bill withers,1981
1619,19,slow hand,the pointer sisters,1981
1620,20,i love you,climax blues band,1981
1621,21,woman,john lennon,1981
1622,22,sukiyaki,a taste of honey,1981
1623,23,the winner takes it all,abba,1981
1624,24,stars on 45 medley,stars on 45,1981
1625,25,angel of the morning,juice newton,1981
1626,26,love on the rocks,neil diamond,1981
1627,27,every woman in the world,air supply,1981
1628,28,the one that you love,air supply,1981
1629,29,guilty,barbra streisand  barry gibb,1981
1630,30,the best of times,styx,1981
1631,31,elvira,the oak ridge boys,1981
1632,32,take it on the run,reo speedwagon,1981
1633,33,theres no gettin over me,ronnie milsap,1981
1634,34,living inside myself,gino vannelli,1981
1635,35,woman in love,barbra streisand,1981
1636,36,the boy from new york city,the manhattan transfer,1981
1637,37,urgent,foreigner,1981
1638,38,passion,rod stewart,1981
1639,39,lady you bring me up,commodores,1981
1640,40,crying,don mclean,1981
1641,41,hearts,marty balin,1981
1642,42,its my turn,diana ross,1981
1643,43,you make my dreams,hall  oates,1981
1644,44,i dont need you,kenny rogers,1981
1645,45,how bout us,champaign,1981
1646,46,hit me with your best shot,pat benatar,1981
1647,47,the breakup song they dont write em,the greg kihn band,1981
1648,48,time,the alan parsons project,1981
1649,49,hungry heart,bruce springsteen,1981
1650,50,sweetheart,franke and the knockouts,1981
1651,51,somebodys knockin,terri gibbs,1981
1652,52,more than i can say,leo sayer,1981
1653,53,together,tierra,1981
1654,54,too much time on my hands,styx,1981
1655,55,what are we doin in love,dottie west  kenny rogers,1981
1656,56,whos crying now,journey,1981
1657,57,de do do do de da da da,the police,1981
1658,58,this little girl,gary us bonds,1981
1659,59,stop draggin my heart around,stevie nicks  tom petty,1981
1660,60,giving it up for your love,delbert mcclinton,1981
1661,61,a little in love,cliff richard,1981
1662,62,america,neil diamond,1981
1663,63,aint even done with the night,john cougar,1981
1664,64,arthurs theme best that you can do,christopher cross,1981
1665,65,another one bites the dust,queen,1981
1666,66,games people play,the alan parsons project,1981
1667,67,i cant stand it,eric clapton,1981
1668,68,while you see a chance,steve winwood,1981
1669,69,master blaster jammin,stevie wonder,1981
1670,70,hello again,neil diamond,1981
1671,71,dont stand so close to me,the police,1981
1672,72,hey nineteen,steely dan,1981
1673,73,i aint gonna stand for it,stevie wonder,1981
1674,74,all those years ago,george harrison,1981
1675,75,step by step,eddie rabbitt,1981
1676,76,the stroke,billy squier,1981
1677,77,feels so right,alabama,1981
1678,78,sweet baby,george duke  stanley clarke,1981
1679,79,same old lang syne,dan fogelberg,1981
1680,80,cool love,pablo cruise,1981
1681,81,hold on tight,electric light orchestra,1981
1682,82,its now or never,john schneider,1981
1683,83,treat me right,pat benatar,1981
1684,84,winning,santana,1981
1685,85,what kind of fool,barbra streisand  barry gibb,1981
1686,86,watching the wheels,john lennon,1981
1687,87,tell it like it is,heart,1981
1688,88,smoky mountain rain,ronnie milsap,1981
1689,89,i made it through the rain,barry manilow,1981
1690,90,youve lost that lovin feelin,hall  oates,1981
1691,91,suddenly,olivia newtonjohn  cliff richard,1981
1692,92,for your eyes only,sheena easton,1981
1693,93,the beach boys medley,the beach boys,1981
1694,94,whip it,devo,1981
1695,95,modern girl,sheena easton,1981
1696,96,really wanna know you,gary wright,1981
1697,97,seven year ache,rosanne cash,1981
1698,98,im coming out,diana ross,1981
1699,99,miss sun,boz scaggs,1981
1700,100,time is time,andy gibb,1981
1701,1,physical,olivia newtonjohn,1982
1702,2,eye of the tiger,survivor,1982
1703,3,i love rock n roll,joan jett and the blackhearts,1982
1704,4,ebony and ivory,paul mccartney and stevie wonder,1982
1705,5,centerfold,the j geils band,1982
1706,6,dont you want me,the human league,1982
1707,7,jack  diane,john cougar,1982
1708,8,hurts so good,john cougar,1982
1709,9,abracadabra,steve miller band,1982
1710,10,hard to say im sorry,chicago,1982
1711,11,tainted love,soft cell,1982
1712,12,chariots of fire,vangelis,1982
1713,13,harden my heart,quarterflash,1982
1714,14,rosanna,toto,1982
1715,15,i cant go for that no can do,daryl hall  john oates,1982
1716,16,8675309jenny,tommy tutone,1982
1717,17,key largo,bertie higgins,1982
1718,18,you should hear how she talks about you,melissa manchester,1982
1719,19,waiting for a girl like you,foreigner,1982
1720,20,dont talk to strangers,rick springfield,1982
1721,21,the sweetest thing ive ever known,juice newton,1982
1722,22,always on my mind,willie nelson,1982
1723,23,shake it up,the cars,1982
1724,24,let it whip,dazz band,1982
1725,25,we got the beat,the gogos,1982
1726,26,the other woman,ray parker jr,1982
1727,27,turn your love around,george benson,1982
1728,28,sweet dreams,air supply,1982
1729,29,only the lonely,the motels,1982
1730,30,who can it be now,men at work,1982
1731,31,hold me,fleetwood mac,1982
1732,32,eye in the sky,the alan parsons project,1982
1733,33,lets groove,earth wind  fire,1982
1734,34,open arms,journey,1982
1735,35,leader of the band,dan fogelberg,1982
1736,36,leather and lace,stevie nicks and don henley,1982
1737,37,even the nights are better,air supply,1982
1738,38,ive never been to me,charlene,1982
1739,39,65 love affair,paul davis,1982
1740,40,heat of the moment,asia,1982
1741,41,take it easy on me,little river band,1982
1742,42,pacman fever,buckner  garcia,1982
1743,43,that girl,stevie wonder,1982
1744,44,private eyes,daryl hall  john oates,1982
1745,45,trouble,lindsey buckingham,1982
1746,46,making love,roberta flack,1982
1747,47,loves been a little bit hard on me,juice newton,1982
1748,48,young turks,rod stewart,1982
1749,49,freezeframe,the j geils band,1982
1750,50,keep the fire burnin,reo speedwagon,1982
1751,51,do you believe in love,huey lewis and the news,1982
1752,52,cool night,paul davis,1982
1753,53,caught up in you,38 special,1982
1754,54,why do fools fall in love,diana ross,1982
1755,55,love in the first degree,alabama,1982
1756,56,hooked on classics,royal philharmonic orchestra,1982
1757,57,wasted on the way,crosby stills  nash,1982
1758,58,think im in love,eddie money,1982
1759,59,love is in control finger on the trigger,donna summer,1982
1760,60,personally,karla bonoff,1982
1761,61,one hundred ways,quincy jones featuring james ingram,1982
1762,62,blue eyes,elton john,1982
1763,63,our lips are sealed,the gogos,1982
1764,64,you could have been with me,sheena easton,1982
1765,65,you can do magic,america,1982
1766,66,did it in a minute,daryl hall  john oates,1982
1767,67,i ran so far away,a flock of seagulls,1982
1768,68,somebodys baby,jackson browne,1982
1769,69,oh no,commodores,1982
1770,70,take it away,paul mccartney,1982
1771,71,its gonna take a miracle,deniece williams,1982
1772,72,love will turn you around,kenny rogers,1982
1773,73,dont stop believin,journey,1982
1774,74,comin in and out of your life,barbra streisand,1982
1775,75,gloria,laura branigan,1982
1776,76,empty garden hey hey johnny,elton john,1982
1777,77,yesterdays songs,neil diamond,1982
1778,78,crimson and clover,joan jett  the blackhearts,1982
1779,79,every little thing she does is magic,the police,1982
1780,80,here i am,air supply,1982
1781,81,i keep forgettin every time youre near,michael mcdonald,1982
1782,82,get down on it,kool  the gang,1982
1783,83,any day now,ronnie milsap,1982
1784,84,make a move on me,olivia newtonjohn,1982
1785,85,take my heart you can have it if you want it,kool  the gang,1982
1786,86,mirror mirror,diana ross,1982
1787,87,vacation,the gogos,1982
1788,88,oh pretty woman,van halen,1982
1789,89,should i do it,the pointer sisters,1982
1790,90,hot in the city,billy idol,1982
1791,91,kids in america,kim wilde,1982
1792,92,man on your mind,little river band,1982
1793,93,whats forever for,michael murphey,1982
1794,94,waiting on a friend,the rolling stones,1982
1795,95,do i do,stevie wonder,1982
1796,96,working for the weekend,loverboy,1982
1797,97,goin down,greg guidry,1982
1798,98,arthurs theme best that you can do,christopher cross,1982
1799,99,through the years,kenny rogers,1982
1800,100,edge of seventeen just like the white winged dove,stevie nicks,1982
1801,1,every breath you take,the police,1983
1802,2,billie jean,michael jackson,1983
1803,3,flashdance what a feeling,irene cara,1983
1804,4,down under,men at work,1983
1805,5,beat it,michael jackson,1983
1806,6,total eclipse of the heart,bonnie tyler,1983
1807,7,maneater,daryl hall  john oates,1983
1808,8,baby come to me,patti austin and james ingram,1983
1809,9,maniac,michael sembello,1983
1810,10,sweet dreams are made of this,eurythmics,1983
1811,11,do you really want to hurt me,culture club,1983
1812,12,you and i,eddie rabbitt and crystal gayle,1983
1813,13,come on eileen,dexys midnight runners,1983
1814,14,shame on the moon,bob seger  the silver bullet band,1983
1815,15,she works hard for the money,donna summer,1983
1816,16,never gonna let you go,sergio mendes,1983
1817,17,hungry like the wolf,duran duran,1983
1818,18,lets dance,david bowie,1983
1819,19,twilight zone,golden earring,1983
1820,20,i know theres something going on,frida,1983
1821,21,jeopardy,the greg kihn band,1983
